type,annual_change,ci_lower,ci_upper,p_value,significant
Overall,-317.56516999516407,-336.1465586760921,-298.983781314236,2.7506701577061105e-92,True
Violent,-36.88589223387477,-38.66822914295123,-35.10355532479831,4.362809741653897e-109,True
Property,24.676721356854586,6.738966703038396,42.61447601067078,0.0072171563946302605,True
Other,-313.5557033366685,-322.4647464785547,-304.6466601947824,2.234661658209145e-159,True
