month,factor
1,-990.6978470030605
2,-2515.070505333223
3,-651.9096763646244
4,-2.257356444654402
5,973.0335101006895
6,1077.8860095040968
7,1535.26958104142
8,1514.1986727137883
9,458.0678906697579
10,843.7234399907533
11,-1204.0596839206655
12,-1065.2018165351171
