text_general_code,summer_avg,winter_avg,summer_to_winter_ratio
All Other Offenses,61003.666666666664,39982.666666666664,1.5257528262246973
Other Assaults,42043.666666666664,36966.666666666664,1.1373399458972047
Theft from Vehicle,25434.0,20904.666666666668,1.2166661351532353
Thefts,47043.333333333336,38569.333333333336,1.2197082310644034
Vandalism/Criminal Mischief,30172.666666666668,23968.333333333332,1.258855434253529
