offense_category,Aggravated Assault,Burglary,Homicide,Larceny,Motor Vehicle Theft,Other,Rape,Robbery
Aggravated Assault,1.0,0.9012654043387772,0.9667032594828898,0.544877267622351,0.8770065361489261,0.9584065432756125,0.9917178066075014,0.9419981797011339
Burglary,0.9012654043387772,1.0,0.8153328577703146,0.7372200128868756,0.9404669040215807,0.9204121719483704,0.9198231622047962,0.9082951581610881
Homicide,0.9667032594828898,0.8153328577703146,1.0,0.385268540897386,0.7708742686566562,0.8890860391970826,0.9491312157173654,0.8638480101912015
Larceny,0.544877267622351,0.7372200128868756,0.385268540897386,1.0,0.6991801126066362,0.6779272007120719,0.5858297251131682,0.7127330943735657
Motor Vehicle Theft,0.8770065361489261,0.9404669040215807,0.7708742686566562,0.6991801126066362,1.0,0.8933358819877677,0.9082332122796937,0.9249726316724055
Other,0.9584065432756125,0.9204121719483704,0.8890860391970826,0.6779272007120719,0.8933358819877677,1.0,0.960862869474081,0.9516208367313846
Rape,0.9917178066075014,0.9198231622047962,0.9491312157173654,0.5858297251131682,0.9082332122796937,0.960862869474081,1.0,0.9591199305615845
Robbery,0.9419981797011339,0.9082951581610881,0.8638480101912015,0.7127330943735657,0.9249726316724055,0.9516208367313846,0.9591199305615845,1.0
