severity,slope,ci_lower,ci_upper,p_value,significant
Violent,-2.906679369433498,-3.2096539843475753,-2.6037047545194207,2.825063751477447e-49,True
Property,2.9850956613830064,1.2817020845391978,4.688489238226815,0.0006577159813233161,True
Quality-of-Life,-26.178066893522463,-28.10954832176794,-24.246585465276986,1.5512140579696773e-73,True
