dc_dist,Property,Quality-of-Life,Violent
1,33.382289175164004,57.82803910872393,8.789671716112068
2,36.98003304489064,54.3403623736313,8.67960458147806
3,39.13240169363333,53.2610923793569,7.606505927009775
4,31.093007467752887,59.09172115625112,9.815271375995998
5,41.28787878787879,53.95754419191919,4.75457702020202
6,43.47514158980692,50.0582915404833,6.466566869709784
7,43.33216366060776,51.34956839076427,5.318267948627974
8,40.77542514600324,52.86732357405645,6.3572512799403125
9,47.60314981127164,46.4460497201614,5.950800468566967
12,26.25005020281939,63.0060444194546,10.743905377726014
14,29.969272931113235,60.6413237553461,9.389403313540672
15,31.45157496698088,58.01089178773678,10.537533245282336
16,24.794250019070542,65.22210826983549,9.983641711093972
17,30.26070935052971,60.82542607093505,8.913864578535238
18,31.812682700934854,57.7557813087899,10.431535990275245
19,22.67046502941031,68.0879023946787,9.241632575911
22,29.05300042194867,59.01456640187859,11.932433176172742
23,20.463012240553486,70.15129628221698,9.38569147722953
24,23.986486486486484,66.36824324324324,9.64527027027027
25,21.856294167721362,65.63644307121335,12.507262761065293
26,39.2251042989298,51.780155994921095,8.994739706149101
35,25.655045368138435,62.42724440002352,11.917710231838047
39,28.337773074124627,60.109079320028144,11.55314760584723
77,57.066816080683566,42.08572629219779,0.847457627118644
92,68.94701542588867,24.077800134138165,6.975184439973173
