dc_dist,shannon_diversity,herfindahl_index
1,1.2093071345199995,0.4070532374874304
2,1.2776103007432442,0.3762098174001706
3,1.2127647439454723,0.3885830000565951
4,1.176765778681856,0.4189675568569832
5,1.1848070782769315,0.39472561935395223
6,1.140011951861974,0.39947904234774456
7,1.2429886559385905,0.37144276361869066
8,1.211756906025459,0.38697710168741317
9,1.158693615966106,0.3896700610107096
12,1.2244218336838684,0.4340805549447682
14,1.2245262534578307,0.41892059084785044
15,1.2744534550171163,0.39398594168490236
16,1.1458657045249474,0.4639470286123314
17,1.1949841160657484,0.42520042238451206
18,1.2453951769604552,0.3989023667518121
19,1.0949202047587399,0.49408736981868506
22,1.2795923919144176,0.3987884575696521
23,1.0411912407125752,0.5194567952911874
24,1.1289304402626965,0.4752614987436416
25,1.1795162275510633,0.461366735002012
26,1.3306098905168147,0.35418648599624475
35,1.2370524887310435,0.42806837625142535
39,1.2625779428941208,0.40852140483105764
77,0.8652540339859308,0.4683122078246108
92,1.1035854762761321,0.4584003012035999
