ucr_code,frequency,percentage,cumulative_percentage
600,800137,22.957050409354544,22.957050409354544
2600,600825,17.23851017038388,40.19556057973843
800,495082,14.204595501475456,54.40015608121388
1400,328285,9.418956120808007,63.819112202021884
1100,195574,5.611291787230319,69.4304039892522
1800,186338,5.346298020436884,74.77670200968909
400,169939,4.875787758240529,79.65248976792962
500,168691,4.83998089152786,84.49247065945748
300,136653,3.920765830838377,88.41323649029586
700,124645,3.5762395043273805,91.98947599462323
2100,68454,1.9640410688694012,93.95351706349264
2400,45600,1.3083278221936583,95.2618448856863
1500,43965,1.2614173838321094,96.52326226951841
1700,23932,0.6866425754547946,97.20990484497321
200,18889,0.5419518472240353,97.75185669219725
1600,16434,0.4715144611826882,98.22337115337994
900,10560,0.30298117987642614,98.52635233325637
1200,7106,0.20388108562517843,98.73023341888155
100,6958,0.19963475848297094,98.92986817736453
2500,6912,0.19831495410093347,99.12818313146546
1000,6796,0.1949867517462303,99.32316988321169
1300,6449,0.18503083608173032,99.50820071929343
2200,6209,0.1781449001754479,99.68634561946888
2300,5285,0.15163404693626062,99.83797966640515
2000,4468,0.1281931734552909,99.96617283986043
1900,1179,0.03382716013961235,100.00000000000004
