rank,x,y,density
1,2693519.492930786,235721.62465268938,1.2274807398271236e-09
2,2693519.492930786,235239.16402311434,1.2218694066722699e-09
3,2693957.9261215255,235721.62465268938,1.2199601826148492e-09
4,2693081.0597400465,235239.16402311434,1.2197643002764653e-09
5,2693957.9261215255,236204.08528226445,1.2132249816046615e-09
