dc_dist,crime_count,avg_lat,avg_lng,crimes_per_year,pct_of_total,rank
15,276355,68.90232606765096,223.41897593838024,13838.588394570881,7.9290117390861505,1
24,248640,80.79047772947864,363.3948234739788,12450.748560460654,7.133829598908579,2
19,222201,49.03994098932348,22.00324951176944,11126.804942418426,6.375257684632743,3
25,222023,64.65151865199613,183.4485133393457,11117.89152042775,6.37015061550225,4
22,218036,59.522976310659374,138.24043079350355,10918.240882917467,6.255758005259134,5
35,204108,65.18191372959042,178.81511223716427,10220.790649849192,5.856144191497878,6
12,199192,54.845311393367815,102.00399890402178,9974.619961612285,5.715097271017526,7
14,192664,75.83341751316792,278.0584522428429,9647.727721414862,5.527799814366645,8
2,178545,77.07573177661246,293.97354881879266,8940.713086098163,5.122705943279972,9
18,172755,53.80986501693135,81.78276484373424,8650.776494378943,4.9565827395409086,10
39,166301,63.436392152598835,170.72340478275294,8327.589834110227,4.771408446461131,11
9,153660,101.27488246137486,622.409808831575,7694.586646558816,4.408720463997314,12
6,144961,39.95361861061519,-75.15425738136007,7258.980703317796,4.159133978794186,13
3,141471,56.294701063389944,119.4275200802244,7084.217541815191,4.059000994156996,14
26,137825,65.17071670722396,202.84481979179122,6901.6426172196325,3.954392151180723,15
16,117983,52.419946455703766,63.05032658712186,5908.0464422813275,3.3850974001288248,16
8,116607,69.74127832255931,215.96285750116647,5839.142685769126,3.345618034266139,17
17,108550,63.70111825700029,202.36071212363092,5435.685152179874,3.114451427612316,18
1,71493,74.97687051358508,344.1129936677373,3580.040889772416,2.051234232282702,19
7,71245,80.8443016899649,314.498060006799,3567.622189470798,2.044118765179544,20
5,50688,50.47994302545137,31.69073740006546,2538.2221003564573,1.4543096634068453,21
4,27987,39.9201826830597,-75.15808612819626,1401.4603441184536,0.8029862008713579,22
23,26306,39.9763983407279,-75.16853876835567,1317.2835892514395,0.7547559581277714,23
77,14278,67.98154369364704,281.9779530337818,714.9766246229779,0.4096558036245845,24
92,1491,39.996298320348714,-75.19879230098462,74.66242802303263,0.04277887681777949,25
