,total_incidents,mean_lat,mean_lon,mean_hour,active_districts,Other,Property,Violent
total_incidents,1.0,-0.10586538031919453,-0.10586465924598037,-0.7728653433291128,0.6180380713733971,0.9115237582682845,0.36689134243683397,0.8654144944310395
mean_lat,-0.10586538031919453,1.0,0.9999999999927875,0.0987065527731883,-0.08185059280690145,-0.10481073296256986,-0.008273761942768795,-0.13630067503806664
mean_lon,-0.10586465924598037,0.9999999999927875,1.0,0.09870614827084837,-0.08185064728266901,-0.10481002359698333,-0.008273503071650912,-0.13630045208885314
mean_hour,-0.7728653433291128,0.0987065527731883,0.09870614827084837,1.0,-0.6883539150409327,-0.8983147647991171,0.16833851823602827,-0.7547730276195497
active_districts,0.6180380713733971,-0.08185059280690145,-0.08185064728266901,-0.6883539150409327,1.0,0.6483245403122623,-0.007351509201926816,0.7044702445694928
Other,0.9115237582682845,-0.10481073296256986,-0.10481002359698333,-0.8983147647991171,0.6483245403122623,1.0,-0.044010767271842374,0.805713512108544
Property,0.36689134243683397,-0.008273761942768795,-0.008273503071650912,0.16833851823602827,-0.007351509201926816,-0.044010767271842374,1.0,0.21171271548916007
Violent,0.8654144944310395,-0.13630067503806664,-0.13630045208885314,-0.7547730276195497,0.7044702445694928,0.805713512108544,0.21171271548916007,1.0
