the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y
0101000020E6100000E8618313DECB52C0C8D7003A86FF4340,112919,0101000020110F0000DCF638EE70ED5FC1C708C1905E8F5241,35970128,22,2,2014-08-14 04:00:00+00,2014-08-14,00:00:00,21,201422065227.00000000,3300 BLOCK HUNTINGDON,100,Homicide - Criminal,-75.18542946,39.99628377
0101000020E61000001049A5ECD5CE52C0583D726E0AFD4340,113755,0101000020110F0000E0B9F09B7BF25FC1383E0ACF9D8C5241,35970795,19,2,2014-08-15 04:00:00+00,2014-08-15,00:00:00,12,201419073089.00000000,1600 BLOCK N 55TH ST,100,Homicide - Criminal,-75.23180691,39.97688084
0101000020E6100000C81CE458CBC552C0C0B39D598C014440,113772,0101000020110F0000FA2A211120E35FC1EF0A0A099D915241,35970809,15,1,2014-08-28 04:00:00+00,2014-08-28,00:00:00,0,201415078175.00000000,4300 BLOCK PENN ST,100,Homicide - Criminal,-75.09053633,40.01209564
0101000020E6100000A475D9B7CCC152C07044B5FD35074440,114671,0101000020110F000067F54D0757DC5FC1A81E9308E5975241,35971508,08,1,2014-08-06 04:00:00+00,2014-08-06,00:00:00,6,201408029556.00000000,3000 BLOCK HOLME AV,100,Homicide - Criminal,-75.02812000,40.05633518
0101000020E6100000404D624D1BC652C0D0B3B36425034440,114701,0101000020110F0000ECACECE0A7E35FC1D2600CA862935241,35971533,15,2,2014-08-23 04:00:00+00,2014-08-23,00:00:00,22,201415076715.00000000,4700 BLOCK RAMONA AVE,100,Homicide - Criminal,-75.09541640,40.02457866
0101000020E61000006CB0B9687DC952C0C863C1C21E004440,115344,0101000020110F0000C3DD540C67E95FC174E58DAC07905241,35972058,25,1,2014-08-08 04:00:00+00,2014-08-08,00:00:00,11,201425065852.00000000,1100 BLOCK W ALLEGHNEY AV,100,Homicide - Criminal,-75.14827936,40.00093874
0101000020E61000006CB0B9687DC952C0C863C1C21E004440,115345,0101000020110F0000C3DD540C67E95FC174E58DAC07905241,35972059,25,1,2014-08-01 04:00:00+00,2014-08-01,00:00:00,11,201425061781.00000000,1100 BLOCK W ALLEGHENY AVE,100,Homicide - Criminal,-75.14827936,40.00093874
0101000020E61000006CB0B9687DC952C0C863C1C21E004440,115347,0101000020110F0000C3DD540C67E95FC174E58DAC07905241,35972060,25,1,2014-08-01 04:00:00+00,2014-08-01,00:00:00,11,201425061799.00000000,1100 BLOCK W ALLEGHNEY AVE,100,Homicide - Criminal,-75.14827936,40.00093874
0101000020E61000006CB0B9687DC952C0C863C1C21E004440,115348,0101000020110F0000C3DD540C67E95FC174E58DAC07905241,35972061,25,1,2014-08-01 04:00:00+00,2014-08-01,00:00:00,11,201425061840.00000000,1100 BLOCK W ALLEGHNEY AVE,100,Homicide - Criminal,-75.14827936,40.00093874
0101000020E6100000A0D2F5352CCC52C0081075F47FF74340,115499,0101000020110F0000214164A6F5ED5FC121DFAA327A865241,35972170,17,2,2014-08-01 04:00:00+00,2014-08-01,00:00:00,22,201417031512.00000000,1500 BLOCK S ETTING ST,100,Homicide - Criminal,-75.19019841,39.93359237
