the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y
0101000020E6100000F0882573D9CD52C0A09F89ED84FC4340,112785,0101000020110F0000303270C1CEF05FC188B1A3D9098C5241,35970013,19,3,2018-01-06 05:00:00+00,2018-01-06,00:00:00,18,201819001299.00000000,4700 BLOCK W GIRARD AV,100,Homicide - Criminal,-75.21639708,39.97280664
0101000020E6100000CC5B6FAD8CCF52C0C825F944B0F54340,113238,0101000020110F000002E99C08B2F35FC1DA3B85AB78845241,35970396,12,2,2018-01-16 05:00:00+00,2018-01-16,00:00:00,2,201812003648.00000000,2200 BLOCK S 71ST ST,100,Homicide - Criminal,-75.24296127,39.91944182
0101000020E61000006468237403CB52C008E236993FFE4340,113426,0101000020110F0000D71B0194FDEB5FC1FECF107CF48D5241,35970540,22,2,2018-01-10 05:00:00+00,2018-01-10,00:00:00,22,201722095263.00000000,2000 BLOCK JUDSON ST,100,Homicide - Criminal,-75.17208580,39.98631587
0101000020E6100000D0A79ECA1EC852C0908FC98E3F014440,113752,0101000020110F0000CA2B287D13E75FC13F5225E247915241,35970792,25,3,2018-01-20 05:00:00+00,2018-01-20,00:00:00,19,201825005222.00000000,3900 BLOCK N FRONT ST,100,Homicide - Criminal,-75.12687936,40.00975213
0101000020E6100000B87C0CD203CA52C040DC2B19DEFB4340,114705,0101000020110F000083A8075C4BEA5FC1E2DF36F8508B5241,35971535,06,1,2018-01-16 05:00:00+00,2018-01-16,00:00:00,0,201806002230.00000000,800 BLOCK N 12TH ST,100,Homicide - Criminal,-75.15648319,39.96771540
0101000020E6100000EC2E18A821C552C060740E4591054440,115496,0101000020110F000001AE90D4FFE15FC1798EE03E12965241,35972167,02,1,2018-01-29 05:00:00+00,2018-01-29,00:00:00,23,201802005086.00000000,1200 BLOCK GREEBY ST,100,Homicide - Criminal,-75.08017924,40.04349578
0101000020E6100000EC2E18A821C552C060740E4591054440,115497,0101000020110F000001AE90D4FFE15FC1798EE03E12965241,35972168,02,1,2018-01-29 05:00:00+00,2018-01-29,00:00:00,23,201802005087.00000000,1200 BLOCK GREEBY ST,100,Homicide - Criminal,-75.08017924,40.04349578
0101000020E610000078DA37B042CB52C0F842712F3F084440,115766,0101000020110F0000684316FD68EC5FC15CBE6A4F0B995241,35972378,14,3,2018-01-23 05:00:00+00,2018-01-23,00:00:00,23,201814007513.00000000,800 BLOCK VERNON RD,100,Homicide - Criminal,-75.17594533,40.06442826
0101000020E6100000D0EF2D7290CB52C058B4D5592B034440,115914,0101000020110F0000F9825D11EDEC5FC1C9558C4369935241,35972469,39,1,2018-01-24 05:00:00+00,2018-01-24,00:00:00,13,201839005663.00000000,5400 BLOCK WISSAHICKON AV,100,Homicide - Criminal,-75.18069129,40.02476047
0101000020E61000007CAF8B1C4ECE52C0E8EEACDDF6F74340,115990,0101000020110F000010E6D2EA94F15FC1EAD772E8FD865241,35972529,12,3,2018-01-22 05:00:00+00,2018-01-22,00:00:00,11,201812005186.00000000,5500 BLOCK KINGSESSING AV,100,Homicide - Criminal,-75.22351755,39.93722125
0101000020E610000098A183F11DC652C04859F5428C064440,116145,0101000020110F0000BD51665DACE35FC112B381B528975241,35972663,02,2,2018-01-14 05:00:00+00,2018-01-14,00:00:00,12,201802002268.00000000,400 BLOCK PASSMORE ST,100,Homicide - Criminal,-75.09557760,40.05115544
0101000020E6100000B094A33503CA52C070DE05A583004440,117066,0101000020110F000047265A524AEA5FC1C68CBB8677905241,35973400,39,3,2018-01-20 05:00:00+00,2018-01-20,00:00:00,16,201839004669.00000000,3300 BLOCK N SMEDLEY ST,100,Homicide - Criminal,-75.15644589,40.00401748
0101000020E61000002800B651F7C852C0002D5EE536004440,117091,0101000020110F00006079714883E85FC1EE8FCE6E22905241,35973420,25,3,2018-01-17 05:00:00+00,2018-01-17,00:00:00,19,201825004390.00000000,3300 BLOCK N 6TH ST,100,Homicide - Criminal,-75.14009516,40.00167529
0101000020E6100000EC34501B40CE52C0386C3EF522F84340,118302,0101000020110F0000B927F2207DF15FC177C26ABF2E875241,35974352,12,4,2018-01-20 05:00:00+00,2018-01-20,00:00:00,18,201812004807.00000000,5400 BLOCK REGENT ST,100,Homicide - Criminal,-75.22266276,39.93856683
0101000020E6100000FC36727A6ACD52C008541FE5B3FB4340,118504,0101000020110F0000DADB664212F05FC154F7B833228B5241,35974508,16,2,2018-01-14 05:00:00+00,2018-01-14,00:00:00,23,201816001661.00000000,700 BLOCK N 43RD ST,100,Homicide - Criminal,-75.20962392,39.96642746
0101000020E61000002495AC6781CA52C068DA49DA13FE4340,120166,0101000020110F0000315E67AD20EB5FC1651A9EFEC38D5241,35975821,22,1,2018-01-27 05:00:00+00,2018-01-27,00:00:00,23,201822006932.00000000,2000 BLOCK N GRATZ ST,100,Homicide - Criminal,-75.16414825,39.98498086
0101000020E61000008C736D38E4CE52C068A8C1090CF84340,120172,0101000020110F000035BB72E493F25FC131891C5C15875241,35975827,12,4,2018-01-28 05:00:00+00,2018-01-28,00:00:00,6,201812006839.00000000,5800 BLOCK BEAUMONT ST,100,Homicide - Criminal,-75.23267947,39.93786737
0101000020E6100000E842BB2976C552C0D09D0E6E6F044440,121091,0101000020110F00007E7F795F8FE25FC178029AB8D0945241,35976506,02,1,2018-01-18 05:00:00+00,2018-01-18,00:00:00,13,201802003061.00000000,5900 BLOCK BELDEN ST,100,Homicide - Criminal,-75.08533710,40.03465057
0101000020E6100000FC907EFB3AC952C0C039950C00054440,121377,0101000020110F0000C24B3C37F6E85FC1062A042571955241,35976726,35,1,2018-01-23 05:00:00+00,2018-01-23,00:00:00,1,201835005528.00000000,1300 BLOCK W OLNEY AVE,100,Homicide - Criminal,-75.14422500,40.03906400
0101000020E61000009AE7EBA652C952C0212167ED78F84340,287790,0101000020110F00005C3FC86B1EE95FC17D8B08FA8D875241,152350,03,,2018-01-18 14:00:00+00,2018-01-18,09:00:00,9,201803003414.00000000,200 BLOCK South St,400,Aggravated Assault No Firearm,-75.14566968,39.94119041
0101000020E6100000BBC250C140CA52C014A5100AC2F74340,292599,0101000020110F00008F41F4DCB2EA5FC1CC5FFE64C3865241,153496,03,,2018-01-11 05:17:00+00,2018-01-11,00:17:00,0,201803001905.00000000,1100 BLOCK S 10th St,300,Robbery No Firearm,-75.16020234,39.93560911
