the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y
0101000020E6100000705317B1EEC252C0A811DAAF11054440,112824,0101000020110F00008E7BEF9343DE5FC14761E7B584955241,35970050,15,3,2023-01-09 05:00:00+00,2023-01-09,00:00:00,22,202315002117.00000000,7300 BLOCK ROWLAND AVE,100,Homicide - Criminal,-75.04581859,40.03960226
0101000020E6100000705317B1EEC252C0A811DAAF11054440,112825,0101000020110F00008E7BEF9343DE5FC14761E7B584955241,35970051,15,3,2023-01-09 05:00:00+00,2023-01-09,00:00:00,22,202315002117.00000000,7300 BLOCK ROWLAND AVE,100,Homicide - Criminal,-75.04581859,40.03960226
0101000020E6100000705317B1EEC252C0A811DAAF11054440,112826,0101000020110F00008E7BEF9343DE5FC14761E7B584955241,35970052,15,3,2023-01-09 05:00:00+00,2023-01-09,00:00:00,22,202315002117.00000000,7300 BLOCK ROWLAND AVE,100,Homicide - Criminal,-75.04581859,40.03960226
0101000020E6100000500C3A6849C552C0886CCF8249024440,112893,0101000020110F000027F6BF5943E25FC1E22601CD6E925241,35970105,15,1,2023-01-17 05:00:00+00,2023-01-17,00:00:00,21,202315004078.00000000,1600 BLOCK FOULKROD ST,100,Homicide - Criminal,-75.08260542,40.01786838
0101000020E61000002C3C1A7AB0C452C050FDE06FC0044440,113126,0101000020110F0000F4FB52953FE15FC180DD5C942A955241,35970304,02,1,2023-01-19 05:00:00+00,2023-01-19,00:00:00,20,202302002459.00000000,1600 BLOCK LEVICK ST,100,Homicide - Criminal,-75.07327130,40.03712271
0101000020E6100000BCF77984A1CA52C0D0DBBC0436FE4340,113165,0101000020110F00008C82433957EB5FC1BBF398DDE98D5241,35970339,22,1,2023-01-16 05:00:00+00,2023-01-16,00:00:00,17,202322002930.00000000,2100 BLOCK N 20TH ST,100,Homicide - Criminal,-75.16610825,39.98602351
0101000020E610000020CC73987DC452C03070FD51DA014440,113275,0101000020110F00005156F227E9E05FC14FEF117FF3915241,35970419,15,2,2023-01-23 05:00:00+00,2023-01-23,00:00:00,18,202315004549.00000000,2000 BLOCK SCATTERGOOD ST,100,Homicide - Criminal,-75.07016574,40.01447511
0101000020E61000003CE9B31FA3C952C08090014D42004440,113674,0101000020110F0000D340481CA7E95FC179E9D8132F905241,35970735,25,4,2023-01-06 05:00:00+00,2023-01-06,00:00:00,1,202325001010.00000000,3200 BLOCK N 13TH ST,100,Homicide - Criminal,-75.15058129,40.00202334
0101000020E6100000A0C45BA563C252C0080E9D48B7034440,114465,0101000020110F0000C76A006557DD5FC157444D7704945241,35971343,15,3,2023-01-17 05:00:00+00,2023-01-17,00:00:00,4,202315003850.00000000,7100 BLOCK TORRESDALE AV,100,Homicide - Criminal,-75.03733191,40.02903087
0101000020E6100000AC9068EBE8C852C0A83719AB46FF4340,114901,0101000020110F00002036E3D26AE85FC18421B81A188F5241,35971709,25,3,2023-01-11 05:00:00+00,2023-01-11,00:00:00,2,202325002011.00000000,2800 BLOCK N ORKNEY ST,100,Homicide - Criminal,-75.13921628,39.99434413
0101000020E6100000AC59D0A91BC652C0486ACA5080024440,115088,0101000020110F0000C40BED7DA8E35FC1BAD21094AB925241,35971859,15,1,2023-01-28 05:00:00+00,2023-01-28,00:00:00,13,202315006726.00000000,900 BLOCK ORTHODOX ST,100,Homicide - Criminal,-75.09543844,40.01954088
0101000020E610000030C6B51197C952C040B8F54CCF004440,115435,0101000020110F000063BE69A292E95FC170184269CB905241,35972121,25,4,2023-01-03 05:00:00+00,2023-01-03,00:00:00,13,202325000415.00000000,3500 BLOCK GERMANTOWN AV,100,Homicide - Criminal,-75.14984553,40.00632631
0101000020E6100000003B298C00CA52C0E882CB1447FE4340,115723,0101000020110F00000316CBCC45EA5FC1CA3F6AC7FC8D5241,35972341,22,1,2023-01-20 05:00:00+00,2023-01-20,00:00:00,13,202322003110.00000000,2200 BLOCK N BROAD ST,100,Homicide - Criminal,-75.15628342,39.98654423
0101000020E61000009400F2E156CF52C070CEF7DC14F94340,116096,0101000020110F000022175AA856F35FC1D42BA5B73A885241,35972621,12,4,2023-01-18 05:00:00+00,2023-01-18,00:00:00,18,202312003737.00000000,5700 BLOCK BALTIMORE AV,100,Homicide - Criminal,-75.23967789,39.94594919
0101000020E610000070CBFDC477C952C028405D0F2C034440,116125,0101000020110F0000300C01785DE95FC11D3EE10C6A935241,35972645,35,2,2023-01-04 05:00:00+00,2023-01-04,00:00:00,1,202335000642.00000000,4700 BLOCK N BROAD ST,100,Homicide - Criminal,-75.14793515,40.02478211
0101000020E610000080759DBF09C552C01096A99DAF024440,116767,0101000020110F0000B3A45038D7E15FC1EA1BF308E0925241,35973151,15,1,2023-01-04 05:00:00+00,2023-01-04,00:00:00,22,202315000646.00000000,1600 BLOCK DYRE ST,100,Homicide - Criminal,-75.07872000,40.02098437
0101000020E610000028AE45991ACB52C0C8DDB72C2F034440,117109,0101000020110F0000EAC170E424EC5FC1DAD236816D935241,35973430,39,1,2023-01-23 05:00:00+00,2023-01-23,00:00:00,12,202339003828.00000000,300 BLOCK HANSBERRY ST,100,Homicide - Criminal,-75.17349846,40.02487716
0101000020E61000006C059DDBC7C652C080C6CD8F10004440,117132,0101000020110F0000E25C4CFBCCE45FC1F2D480EEF78F5241,35973446,24,1,2023-01-19 05:00:00+00,2023-01-19,00:00:00,18,202324004285.00000000,3500 BLOCK KENSINGTON AV,100,Homicide - Criminal,-75.10594836,40.00050542
