the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y
,112563,,35969825,22,R,2008-11-02 04:00:00+00,2008-11-02,00:00:00,21,200822077574.00000000,3100 BLOCK W OAKDALE STREET,100,Homicide - Criminal,,
0101000020E610000084BDC01434CE52C0C0B01906CAF64340,112807,0101000020110F0000DD85B3B368F15FC1E785B4B2B0855241,35970033,12,I,2008-11-10 05:00:00+00,2008-11-10,00:00:00,19,200812098729.00000000,2500 BLOCK S 59TH STREET,100,Homicide - Criminal,-75.22192878,39.92804028
0101000020E61000000CF9B59521C952C000560428DBFD4340,113047,0101000020110F0000AD474D13CBE85FC1B4CBA226858D5241,35970229,26,O,2008-11-02 04:00:00+00,2008-11-02,00:00:00,2,200826071599.00000000,2100 BLOCK N REESE STREET,100,Homicide - Criminal,-75.14267485,39.98325062
0101000020E61000004CB382D755CD52C00814939FE3FB4340,113261,0101000020110F00009DD6CD34EFEF5FC1AC989917578B5241,35970413,16,L,2008-11-05 05:00:00+00,2008-11-05,00:00:00,20,200816063174.00000000,4200 BLOCK PARRISH STREET,100,Homicide - Criminal,-75.20836437,39.96788401
0101000020E61000002CDAF367A5C352C0209A011A24074440,113369,0101000020110F0000F797BEEF79DF5FC1099EF62ED1975241,35970493,02,C,2008-11-20 05:00:00+00,2008-11-20,00:00:00,18,200802077356.00000000,2100 BLOCK GLENDALE AVENUE,100,Homicide - Criminal,-75.05697059,40.05578923
0101000020E6100000FCA84E5340CA52C04047AC7E52074440,113838,0101000020110F000028181822B2EA5FC1267654A904985241,35970865,14,Y,2008-11-09 05:00:00+00,2008-11-09,00:00:00,14,200814092318.00000000,6600 BLOCK CORNELIUS STREE,100,Homicide - Criminal,-75.16017611,40.05720504
0101000020E6100000E4A1F16F30CE52C0E033419020F84340,115350,0101000020110F000048353B8362F15FC148D86A182C875241,35972063,12,Q,2008-11-25 05:00:00+00,2008-11-25,00:00:00,23,200612056735.00000000,5400 BLOCK KINGSESSING AVE,100,Homicide - Criminal,-75.22170638,39.93849376
0101000020E6100000B8D1D1EE13CB52C00073EE6259064440,115432,0101000020110F000061E9DB9119EC5FC1EC1E5343F0965241,35972119,14,X,2008-11-08 05:00:00+00,2008-11-08,00:00:00,23,200814092176.00000000,500 BLOCK E MAYLAND STREET,100,Homicide - Criminal,-75.17309161,40.04960286
0101000020E610000038C9D71729D152C0001A052B48FD4340,115473,0101000020110F000062B929906EF65FC1948D9C3BE28C5241,35972150,19,A,2008-11-28 05:00:00+00,2008-11-28,00:00:00,16,200819096849.00000000,7500 BLOCK HAVERFORD AVENU,100,Homicide - Criminal,-75.26813313,39.97876489
0101000020E6100000D893A94A07C252C0389C9561DA0B4440,115599,0101000020110F0000C0D48085BADC5FC1165758050C9D5241,35972259,07,G,2008-11-09 05:00:00+00,2008-11-09,00:00:00,2,200807043889.00000000,9800 BLOCK BUSTLETON AVENU,100,Homicide - Criminal,-75.03169505,40.09260197
0101000020E6100000F0C7366E86CB52C0C8DD3D66BEFE4340,115836,0101000020110F00006C42360EDCEC5FC142B4DB0A818E5241,35972431,22,P,2008-11-21 05:00:00+00,2008-11-21,00:00:00,0,200822081472.00000000,2900 BLOCK W FLETCHER STREET,100,Homicide - Criminal,-75.18007999,39.99018553
0101000020E61000007C0197A984CE52C078AD01DAAEF84340,116066,0101000020110F00008A51DB93F1F15FC1B662FBB5C9875241,35972593,12,Q,2008-11-04 05:00:00+00,2008-11-04,00:00:00,1,200812096911.00000000,5400 BLOCK FLORENCE AVENUE,100,Homicide - Criminal,-75.22684707,39.94283605
0101000020E61000005CC3C0FEE1C952C0F88AE8F0B3F74340,116443,0101000020110F0000BF3958E711EA5FC1E00F5DC7B3865241,35972900,03,P,2008-11-02 04:00:00+00,2008-11-02,00:00:00,1,200803040423.00000000,600 BLOCK WASHINGTON AVEN,100,Homicide - Criminal,-75.15441865,39.93517887
0101000020E61000000824BBE1FDCE52C098DAE21FD8FC4340,116726,0101000020110F0000D138127BBFF25FC14E25CB0D668C5241,35973124,19,N,2008-11-08 05:00:00+00,2008-11-08,00:00:00,23,200819091544.00000000,1500 BLOCK N FRAZIER STREET,100,Homicide - Criminal,-75.23424571,39.97534560
0101000020E6100000C8E63824A6C752C0089C2199F1FC4340,117723,0101000020110F00003FB4808D46E65FC103DD3749828C5241,35973911,26,B,2008-11-23 05:00:00+00,2008-11-23,00:00:00,20,200826071507.00000000,2500 BLOCK E THOMPSON STREET,100,Homicide - Criminal,-75.11951547,39.97612299
0101000020E6100000E837FA3565CC52C0C04A0DF339014440,117790,0101000020110F000030B2667856EE5FC1FB2A25AA41915241,35973957,39,Q,2008-11-26 05:00:00+00,2008-11-26,00:00:00,7,200839076877.00000000,3700 BLOCK MIDVALE AVENUE,100,Homicide - Criminal,-75.19367742,40.00958098
0101000020E6100000AC82BC7724C652C0101FDA5F67014440,117837,0101000020110F0000D2AC7072B7E35FC1EB8ABC0874915241,35973986,24,N,2008-11-16 05:00:00+00,2008-11-16,00:00:00,23,200824100371.00000000,4200 BLOCK O STREET,100,Homicide - Criminal,-75.09597581,40.01096724
0101000020E610000060049B0D4ECE52C00015E28CBFFC4340,118668,0101000020110F0000865072D194F15FC1FA209FD14A8C5241,35974640,19,O,2008-11-02 04:00:00+00,2008-11-02,00:00:00,19,200819090166.00000000,5000 BLOCK MASTER STREET,100,Homicide - Criminal,-75.22351399,39.97459565
0101000020E61000006CD15F6EABC952C038E2F0EC2C034440,118764,0101000020110F000096D6A538B5E95FC16A9CA0026B935241,35974730,35,G,2008-11-29 05:00:00+00,2008-11-29,00:00:00,23,200835110397.00000000,4600 BLOCK N 16TH STREET,100,Homicide - Criminal,-75.15108833,40.02480852
0101000020E61000004072A97F2DC152C0B09DB6203D044440,118881,0101000020110F0000823A069448DB5FC13D0F9FEC98945241,35974828,08,A,2008-11-06 05:00:00+00,2008-11-06,00:00:00,17,200808053166.00000000,8200 BLOCK STATE ROAD,100,Homicide - Criminal,-75.01840202,40.03311547
0101000020E61000006C809CA72FCE52C0B855CF0A8BFC4340,119232,0101000020110F0000B840F22E61F15FC1B27757A0108C5241,35975100,19,O,2008-11-26 05:00:00+00,2008-11-26,00:00:00,13,200819096377.00000000,4900 BLOCK W STILES STREET,100,Homicide - Criminal,-75.22165861,39.97299323
0101000020E6100000A44487CAA3CB52C0F89F44D707FD4340,119434,0101000020110F000064A66DED0DED5FC14EF408F09A8C5241,35975252,23,N,2008-11-12 05:00:00+00,2008-11-12,00:00:00,17,200823052578.00000000,1300 BLOCK N NEWKIRK STREET,100,Homicide - Criminal,-75.18187202,39.97680179
0101000020E61000005C9B0C1543CB52C04015E894F9FE4340,119861,0101000020110F000096D25BA869EC5FC1E9CCF2A5C28E5241,35975582,22,K,2008-11-09 05:00:00+00,2008-11-09,00:00:00,20,200822077087.00000000,2600 BLOCK W YORK STREET,100,Homicide - Criminal,-75.17596937,39.99199163
0101000020E6100000541E957CDBCE52C0B0A568CEC2F64340,119862,0101000020110F0000B5EEA30E85F25FC194075CB4A8855241,35975583,12,J,2008-11-14 05:00:00+00,2008-11-14,00:00:00,23,200812099894.00000000,2100 BLOCK S 63RD STREET,100,Homicide - Criminal,-75.23214640,39.92782002
0101000020E6100000B5F6E39B92CD52C0BC74B426ED034440,135552,0101000020110F00008D7BE16C56F05FC14918D43640945241,1722,05,C,2008-11-01 21:40:00+00,2008-11-01,17:40:00,17,200805028084.00000000,5900 BLOCK RIDGE AVE,600,Thefts,-75.21207330,40.03067478
0101000020E6100000B5F6E39B92CD52C0BC74B426ED034440,136040,0101000020110F00008D7BE16C56F05FC14918D43640945241,1723,05,C,2008-11-26 17:57:00+00,2008-11-26,12:57:00,12,200805030349.00000000,5900 BLOCK RIDGE AV,600,Thefts,-75.21207330,40.03067478
0101000020E610000004C765DCD4C852C0455A53EEF8014440,137645,0101000020110F0000AF088EC048E85FC12D8DFB7015925241,9,25,L,2008-11-12 20:14:00+00,2008-11-12,15:14:00,15,200825126448.00000000,4200 BLOCK N MARSHALL ST,600,Thefts,-75.13799200,40.01540927
0101000020E61000007784D38217CF52C0B103213832F94340,137660,0101000020110F0000EB6BC003EBF25FC1AD0A0B3D5B885241,24,18,Q,2008-11-03 23:24:00+00,2008-11-03,18:24:00,18,200818079027.00000000,S 56TH ST  /  BALTIMORE AV,600,Thefts,-75.23581000,39.94684507
0101000020E61000009D6A8885F5CE52C08D337EC878FA4340,137663,0101000020110F00007CB1BA47B1F25FC18A70050AC5895241,27,18,M,2008-11-21 01:26:00+00,2008-11-20,20:26:00,20,200818083015.00000000,S 56TH ST  /  LOCUST ST,600,Thefts,-75.23373545,39.95681101
0101000020E6100000606544D48ACC52C0872DC1D28EF74340,137682,0101000020110F00000EDA6A5E96EE5FC1E9838FAA8A865241,46,17,N,2008-11-23 00:28:00+00,2008-11-22,19:28:00,19,200817057194.00000000,1500 BLOCK S 31ST ST,500,Burglary Residential,-75.19597346,39.93404612
0101000020E61000007607258A18C752C0223C35F254024440,137696,0101000020110F0000AA1D190756E55FC1DE036B7B7B925241,60,25,E,2008-11-14 09:33:00+00,2008-11-14,04:33:00,4,200825126951.00000000,4600 BLOCK G ST,300,Robbery No Firearm,-75.11087278,40.01821735
0101000020E61000000C18C9C3E7CA52C0E6D7830755F64340,137704,0101000020110F0000DD4CB98BCEEB5FC13D39CD202F855241,68,01,A,2008-11-12 16:44:00+00,2008-11-12,11:44:00,11,200801039740.00000000,2000 BLOCK S BROAD ST,300,Robbery No Firearm,-75.17039580,39.92446989
0101000020E61000004A6B809074C552C0346D9CA08F034440,137719,0101000020110F0000B0445BA88CE25FC1781F437BD8935241,83,15,G,2008-11-12 00:15:00+00,2008-11-11,19:15:00,19,200815128024.00000000,5200 BLOCK OXFORD AVE,600,Thefts,-75.08523953,40.02782066
