event_type,metric,n_event_days,n_control_days,event_mean,control_mean,difference,pct_change,ci_lower,ci_upper,t_statistic,p_value,significant
holiday,total,115,3051,369.1478260869565,429.6371681415929,-60.48934205463638,-14.079168782413461,-81.63739130434784,-41.17782608695657,-8.607678736631987,1.1560055884710566e-17,True
holiday,violent,115,3051,39.2695652173913,40.34546050475254,-1.0758952873612344,-2.6667071682934393,-3.600434782608697,1.296086956521736,-1.2490565715023942,0.21173678338289248,False
holiday,property,115,3051,137.27826086956523,150.25073746312685,-12.972476593561623,-8.63388547210639,-24.521956521739156,-1.06869565217391,-3.0500851612448847,0.0023067219166918377,True
sports,total,890,3051,423.4932584269663,429.6371681415929,-6.143909714626602,-1.4300228588700201,-12.898707865168545,0.7038483146067832,-2.1933296571523546,0.028341888453099037,True
sports,violent,890,3051,40.37078651685393,40.34546050475254,0.02532601210139518,0.06277289138492266,-0.8137921348314642,0.8269943820224677,0.07478902592781536,0.9403863711509475,False
sports,property,890,3051,150.04831460674157,150.25073746312685,-0.202422856385283,-0.1347233696173769,-4.363539325842676,3.7795224719101235,-0.11943095946092844,0.9049400251876678,False
celebration,total,22,3051,390.22727272727275,429.6371681415929,-39.40989541432015,-9.172831946730472,-85.59090909090907,9.325000000000045,-2.5073384739415507,0.012215649298556234,True
celebration,violent,22,3051,39.18181818181818,40.34546050475254,-1.1636423229343578,-2.8841964086573886,-5.867045454545457,3.5,-0.6039454161914323,0.5459245416024388,False
celebration,property,22,3051,140.27272727272728,150.25073746312685,-9.978010190399573,-6.640905967498685,-35.6840909090909,17.41931818181817,-1.047048444539312,0.29515963518610944,False
eagles,total,88,3051,367.67045454545456,429.6371681415929,-61.966713596138334,-14.423033711021096,-78.22244318181815,-44.56363636363636,-7.893845399800026,4.015744290081155e-15,True
eagles,violent,88,3051,42.15909090909091,40.34546050475254,1.8136304043383689,4.495252704141846,-0.829829545454544,4.341193181818184,1.8624832540222531,0.06262842156064816,False
eagles,property,88,3051,134.04545454545453,150.25073746312685,-16.20528291767232,-10.785493097263014,-27.274431818181824,-4.522443181818162,-3.386808558272785,0.0007158146658011276,True
phillies,total,440,3051,452.20454545454544,429.6371681415929,22.567377312952544,5.252659449965267,12.701931818181805,32.10403409090911,6.025586507879615,1.8601839813998026e-09,True
phillies,violent,440,3051,42.06818181818182,40.34546050475254,1.7227213134292825,4.269926013674705,0.624715909090909,2.775113636363635,3.8100718819415134,0.00014132084807936155,True
phillies,property,440,3051,157.21363636363637,150.25073746312685,6.962898900509515,4.634186173108326,0.9656250000000022,12.690965909090906,3.040667326220273,0.0023780792549953893,True
76ers,total,211,3051,395.18957345971563,429.6371681415929,-34.44759468187726,-8.01783393901446,-47.337322274881515,-20.77618483412319,-6.637142759935469,3.7311938365271584e-11,True
76ers,violent,211,3051,38.22274881516588,40.34546050475254,-2.1227116895866587,-5.2613395981354865,-3.7632701421800974,-0.47796208530805756,-3.3138988343347955,0.0009300999394395993,True
76ers,property,211,3051,140.54976303317537,150.25073746312685,-9.700974429951486,-6.456523670861988,-17.663744075829385,-1.9143364928909963,-3.075341961501101,0.002120041789233193,True
flyers,total,212,3051,407.1132075471698,429.6371681415929,-22.5239605944231,-5.242554011760923,-34.948466981132114,-9.436792452830142,-4.3674990953649955,1.295888274933419e-05,True
flyers,violent,212,3051,37.41981132075472,40.34546050475254,-2.9256491839978196,-7.2514953290796855,-4.59457547169811,-1.1837264150943456,-4.591524515055046,4.566486284631757e-06,True
flyers,property,212,3051,147.8490566037736,150.25073746312685,-2.401680859353263,-1.5984486332006598,-10.661674528301885,5.373113207547182,-0.7637987763128378,0.44504242320143617,False
