year,count,yoy_change,vs_baseline
2018,23369,,-3.569365354460674
2019,25099,7.402969746245036,3.569365354460685
2020,20914,-16.673971074544802,-13.699760666831729
2021,24567,17.466768671703157,1.3741025006189567
2022,33116,34.79871372165915,36.65098621771066
2023,37054,11.891532793815674,52.90088305686227
2024,40423,9.092135801802769,66.80283898654781
